,qw,qx,qy,qz,x,y,z,ut,k,dcm_0,dcm_1,dcm_2,dcm_3,dcm_4,dcm_5,dcm_6,dcm_7,dcm_8,ro,pi,ya
J033,-0.12370253652668556,0.6968509323684304,-0.6958805197229393,-0.1218472908415438,-0.11126826698630542,0.754675850879049,0.015642052909091753,1559059705.9989355,55553.5,0.001807079475240516,-0.999995615847793,0.0023455743759329775,-0.9397043397497715,-0.000895968956069481,0.34198676787923504,-0.3419831672183802,-0.002822143657135868,-0.9397018397205846,-3.1385894295321646,0.34902650170483007,-1.5688732993495733
J034,0.7059218050581275,0.000844424655884957,0.026387244143110847,0.7077975713043407,0.6275339755069418,0.6730080532896352,0.10982476502739115,1559059727.0701098,58187.5,-0.00334738207135022,-0.9992549125649032,0.03845002528444112,0.9993440436227415,-0.001956232102932342,0.036161458957888734,-0.0360592985944564,0.03854585014728844,0.9986059940243555,0.038580505210947635,0.036067117725118246,1.5741458935261654
J035,0.7070002378712436,-0.0027310952109747674,-0.00018930066692747036,0.707208009322161,0.16426757368174744,0.38907404963323317,0.579802112923991,1559059747.0131423,60680.5,-0.00028640920437957474,-0.9999914274836124,-0.0041305760537806895,0.9999934953934596,-0.0003012549943912879,0.003594020048207268,-0.0035952335649397016,-0.004129519816927372,0.9999850099826124,-0.004129558244048776,0.00359524131134111,1.571082737854483
J036,0.6867282446859819,0.1688427828976911,0.1707882903707516,0.686096051590659,0.1646025603583192,0.3887964840003526,0.5796586636041364,1559059756.4167855,61856.0,0.00020713509266282986,-0.8846503338108505,0.46625501909486755,0.9999958146004431,0.0015286449589310754,0.0024561274112579324,-0.0028855523726415027,0.4662525591073747,0.8846469485096153,0.4850521566621962,0.0028855563781349557,1.5705891908379173
J037,0.6779260142908324,-0.20007644227589175,-0.19760510749866622,0.6792186374153981,0.1638444489546508,0.3890966409418287,0.5800624814731211,1559059766.4843993,63114.5,-0.0007714724594749099,-0.8418477134930104,-0.5397145827865695,0.9999922209327441,-0.0027370806929813,0.002839906500740515,-0.0038680111237801534,-0.5397081937982648,0.8418432769226201,-0.5700952431347348,0.0038680207703030646,1.5715678051027406
J038,0.7069160191386037,0.0010797650136621364,0.003566143674552844,0.707287677046444,0.1641860031778739,0.3891059261769318,0.5798307850066371,1559059776.0479283,64310.0,-0.000537151622541935,-0.9999782767656304,0.006569337175583239,0.9999936790521634,-0.0005140483512806592,0.0035179725843580627,-0.0035145191980308276,0.006571185300072769,0.9999722327891184,0.006571273181930852,0.003514526434551266,1.5713334817609659
J039,0.7060391506961702,-0.0003668094186829098,0.0013283458595781314,0.7081714609728544,0.24249448800529122,-0.26863604931102064,0.444501685247969,1559059788.4514885,65860.5,-0.00301716564936312,-0.9999945279230577,0.0013562004448610986,0.9999925790796748,-0.003013905990754413,0.0023993568614617145,-0.002395256304092155,0.0013634296314209192,0.9999962013118526,0.0013634339652349007,0.0023952585949773863,1.5738135056790221
J040,0.685028717426314,-0.1741810106221197,-0.17250093845051734,0.6860321112265817,0.24179967214219178,-0.4557144916120322,0.4440606369839485,1559059798.2790813,67089.0,-0.0007932631158471834,-0.879810618798341,-0.4753237261149438,0.9999961699168567,-0.0019581647299089866,0.001955622548961438,-0.002651339681280588,-0.47532035452084814,0.8798088030462867,-0.4953300117795515,0.0026513427883735315,1.571589592782848
J041,0.7057182038259355,0.03397825680778892,0.03555669446653209,0.7067835706999729,0.23928030872260178,-0.4554065265502474,0.444056791287942,1559059807.6907024,68265.5,-0.0016145890331600082,-0.9951637548450691,0.09821656045993715,0.999996372747622,-0.001395076165234905,0.0023036262467808905,-0.002155465755335005,0.0982199236479451,0.9951623984862483,0.09837876630566333,0.002155467425138229,1.5724109202814511
J042,0.6063640727412342,0.36209102286756806,-0.3632219810562063,0.6076861808543969,0.24379574092828588,-0.06047976173484116,0.5656649577194515,1559059819.862214,69787.0,-0.002425404365388903,-0.999996972088787,-0.0004140976766403339,0.47391929775592506,-0.0007848068421129387,-0.8805679316266763,0.8805649409211821,-0.0023319823776388826,0.4739197667575481,-0.004920588532361799,-1.0770529296931142,1.575914041791475
J043,0.7063855482200864,0.004684590275666624,-0.0052316416418919705,0.7077924422241687,0.24285084337098714,-0.07900781279809253,0.5974019906502924,1559059831.169713,71200.5,-0.0019950232285929404,-0.9999977205847833,-0.0007596769155012021,0.9998996883112926,-0.001984173841524091,-0.014024086574599805,0.014022547273487309,-0.0007875790876241141,0.9999013684179026,-0.000787656612717683,-0.014023006864498434,1.5727915475200835
J044,0.6645194167378383,0.21589946047227004,0.27426201036859066,0.6607433063475083,0.3194912034467595,-0.06822684752365162,0.6395878140305719,1559059843.4932375,72741.0,-0.023602735002003022,-0.759727472658532,0.6498131088199105,0.9965795531993269,0.03361141166578331,0.07549480793847589,-0.07919661562503778,0.6493723420468307,0.7563355446649626,0.7094524574500699,0.07927963841355624,1.5944756440404335
J045,0.6671849715274214,-0.18706149513717235,-0.2578532906117613,0.673337872177273,0.2128103380687366,-0.08340784829001105,0.5235492289800027,1559059864.3643966,75350.0,-0.03974442079042329,-0.8020129733753086,-0.5959828582782493,0.9949506627294075,0.023248213139354226,-0.09763553541264505,0.09216050220794629,-0.5968540082894737,0.7970393532435397,-0.6427575389703928,-0.09229146517428712,1.6107212221244471
J046,0.7323566610055045,-0.0017528057705750064,0.0015480000540854311,0.6809172123604595,-0.24509728576157014,-0.1005567909016319,0.5106189073407374,1559059882.683636,77640.0,0.07269870479331103,-0.9973539403187157,-0.00011965499827009605,0.9973430835616445,0.07269735283995382,0.0046754777095863315,-0.004654407543174849,-0.00045923813899756524,0.9999890583983608,-0.00045924313225456057,0.004654424366288551,1.4980326426829305
J047,0.6514231357792701,0.2598090001169358,0.21717821065019186,0.6789556716956703,-0.029875825902977687,-0.11349180371112645,0.7218198811334466,1559059902.122839,80070.0,-0.016294360782348718,-0.7717251582488357,0.6357474090775316,0.9974245720616617,-0.05696304385839582,-0.043582431238868465,0.06984776621425916,0.633399943277979,0.7706658127858795,0.6879447161314042,-0.06990468589276454,1.5871313076627607
J048,0.6586629192007997,-0.18463734926813435,-0.18162870197931588,0.706458223008065,-0.1573561728644801,-0.11525094367469815,0.5835405591225404,1559059931.137632,83697.0,-0.06414441397268132,-0.863564785294308,-0.500141328956437,0.9977065557230049,-0.06634834521270173,-0.013398629609080465,-0.021612965505457587,-0.4998537302218004,0.8658401251481346,-0.5235647336391092,0.02161464851044945,1.6349998273646564
J049,0.7082235127880567,0.00029895443833692653,6.709447749932694e-05,0.7059882163019884,0.11048843460015723,-0.09528493635995784,0.9892631208003067,1559059951.1727874,86201.5,0.00316126736674065,-0.9999948688893916,0.0005171523868770821,0.9999949488206894,0.0031610976490620032,-0.0003287173044189677,0.0003270808476671918,0.0005181889534491775,0.9999998116816136,0.0005181890046440107,-0.00032708085364136966,1.5676350539908634
